date,target_swe,ERA5,BiLSTM_avg,Transformer_avg
2022-04-12,,136.22634890293614,116.805037715192,115.57893069004551
2022-04-13,,136.8731928421481,116.26806054844693,116.64035840763881
2022-04-14,,137.1549129708475,115.21608087856234,117.06313917476595
2022-04-15,,137.25949451062328,114.44359447095044,117.60523540112622
2022-04-16,,137.30533499576663,114.18260893680667,117.9695327267847
2022-04-17,,137.32436660513812,113.82439788565571,118.19033225760396
2022-04-18,,137.33085150679543,113.65520110091163,118.61242499312354
2022-04-19,,137.33275159067367,113.72431653207991,118.88796017832014
2022-04-20,,137.3331208377431,113.82800342136127,118.58866530948383
2022-04-21,,137.33341315833977,114.04396842567375,123.45011886207513
2022-04-22,,137.33353624069625,114.16508722031051,118.9931265803569
2022-04-23,,137.33317468627408,114.31621911986784,152.0639491842599
2022-04-24,,137.30522729870472,114.32821504589711,148.81172244068776
2022-04-25,,137.31877405056534,114.61427499661026,129.55385120520174
2022-04-26,,137.32814369495276,115.11099052722815,128.17150068576697
2022-04-27,,137.3318746288837,116.45497548185001,128.93545073173652
2022-04-28,,137.3331669936268,118.33200465536997,126.51499773360179
2022-04-29,,137.33349008481255,119.0334362975811,127.59465727727165
2022-04-30,,137.33353624069625,120.21511831009323,127.07276882851059
2022-05-01,,137.33353624069625,120.82633657181198,127.12579107010299
2022-05-02,,137.33353624069625,121.16726989471847,127.25535812103683
2022-05-03,,137.33353624069625,121.3769041987651,128.79198639118607
2022-05-04,,137.33353624069625,121.49231233322556,131.83307099738653
2022-05-05,,137.33353624069625,121.6046946498149,133.48108355426723
2022-05-06,,137.33353624069625,121.75196532928878,134.36875799322064
2022-05-07,,137.33353624069625,122.08260554993088,135.38304936611587
2022-05-08,,137.33353624069625,122.25327186310226,137.74562735283308
2022-05-09,,137.33353624069625,122.45794000351364,139.1811534854167
2022-05-10,,137.33353624069625,122.54951877319748,140.2608856889003
2022-05-11,,137.33353624069625,122.622098252415,140.22599372589522
2022-05-12,,137.33353624069625,122.7254411669963,139.40949468338425
2022-05-13,,137.33353624069625,122.85394134247238,138.61986245834763
2022-05-14,,137.33353624069625,123.01524047577315,137.69310331070358
2022-05-15,,137.33353624069625,123.18000907623703,136.27785216295655
2022-05-16,,137.33353624069625,123.17609252655441,133.58354446613723
2022-05-17,,137.33353624069625,123.20517940246994,145.1659696551555
2022-05-18,,137.33353624069625,123.09830093109542,141.86120166504318
2022-05-19,,137.33353624069625,123.29491729462082,134.60484609329635
2022-05-20,,137.33353624069625,123.28779191696579,132.3446815463298
2022-05-21,,137.33353624069625,123.67574653351241,145.33110875809126
2022-05-22,,137.33353624069625,124.57191762649947,142.53972291672164
2022-05-23,,137.33353624069625,125.01547565185959,136.04975599968367
2022-05-24,,137.33353624069625,124.7941748591655,144.6499936076396
2022-05-25,,137.33353624069625,124.80603446686203,142.05244326317245
